,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2024-08-25,15:30,Bundesliga,Matchweek 1,Sun,Away,W,3.0,2.0,Wolfsburg,2.4,1.9,70.0,30000.0,Manuel Neuer,4-2-3-1,4-2-3-1,,Match Report,,15.0,8.0,11.1,0.0,0,0,2025,Bayern Munich
2,2024-09-01,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2.0,0.0,Freiburg,1.5,1.0,66.0,75000.0,Manuel Neuer,4-1-4-1,4-2-3-1,Christian Dingert,Match Report,,11.0,2.0,16.0,0.0,1,1,2025,Bayern Munich
3,2024-09-14,18:30,Bundesliga,Matchweek 3,Sat,Away,W,6.0,1.0,Holstein Kiel,3.2,0.3,70.0,15034.0,Manuel Neuer,4-2-3-1,4-3-3,Tobias Reichel,Match Report,,22.0,11.0,15.9,0.0,1,1,2025,Bayern Munich
5,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Away,W,5.0,0.0,Werder Bremen,3.0,0.0,69.0,42100.0,Joshua Kimmich,4-2-3-1,3-5-2,Bastian Dankert,Match Report,,25.0,7.0,17.3,1.0,0,0,2025,Bayern Munich
6,2024-09-28,18:30,Bundesliga,Matchweek 5,Sat,Home,D,1.0,1.0,Leverkusen,1.4,0.1,69.0,75000.0,Manuel Neuer,4-2-3-1,3-4-3,Felix Zwayer,Match Report,,18.0,3.0,19.3,1.0,0,0,2025,Bayern Munich
8,2024-10-06,17:30,Bundesliga,Matchweek 6,Sun,Away,D,3.0,3.0,Eint Frankfurt,2.2,1.2,74.0,58000.0,Manuel Neuer,4-2-3-1,4-4-2,Benjamin Brand,Match Report,,24.0,13.0,17.5,2.0,0,0,2025,Bayern Munich
9,2024-10-19,18:30,Bundesliga,Matchweek 7,Sat,Home,W,4.0,0.0,Stuttgart,3.2,0.5,65.0,75000.0,Manuel Neuer,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,22.0,10.0,15.9,0.0,0,0,2025,Bayern Munich
11,2024-10-27,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5.0,0.0,Bochum,2.2,0.6,72.0,26000.0,Manuel Neuer,4-2-3-1,3-5-2,Florian Exner,Match Report,,19.0,10.0,17.0,1.0,0,0,2025,Bayern Munich
13,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Home,W,3.0,0.0,Union Berlin,2.5,0.5,77.0,75000.0,Manuel Neuer,4-2-3-1,3-4-3,Matthias Jöllenbeck,Match Report,,15.0,6.0,16.6,0.0,1,1,2025,Bayern Munich
15,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Away,W,1.0,0.0,St. Pauli,0.8,0.1,75.0,29546.0,Manuel Neuer,4-2-3-1,5-4-1,Timo Gerach,Match Report,,13.0,6.0,19.0,0.0,0,0,2025,Bayern Munich
16,2024-11-22,20:30,Bundesliga,Matchweek 11,Fri,Home,W,3.0,0.0,Augsburg,3.7,0.1,80.0,75000.0,Manuel Neuer,4-2-3-1,3-5-2,Daniel Schlager,Match Report,,31.0,12.0,18.1,1.0,2,2,2025,Bayern Munich
18,2024-11-30,18:30,Bundesliga,Matchweek 12,Sat,Away,D,1.0,1.0,Dortmund,1.5,0.6,67.0,81365.0,Manuel Neuer,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,14.0,5.0,19.4,2.0,0,0,2025,Bayern Munich
20,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Home,W,4.0,2.0,Heidenheim,2.4,1.3,82.0,75000.0,Thomas Müller,4-2-3-1,5-3-2,Sören Storks,Match Report,,21.0,10.0,15.8,0.0,0,0,2025,Bayern Munich
22,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1.0,2.0,Mainz 05,1.4,1.0,68.0,33305.0,Thomas Müller,4-2-3-1,3-4-3,Frank Willenborg,Match Report,,13.0,1.0,16.2,0.0,0,0,2025,Bayern Munich
23,2024-12-20,20:30,Bundesliga,Matchweek 15,Fri,Home,W,5.0,1.0,RB Leipzig,3.3,0.4,71.0,75000.0,Joshua Kimmich,4-2-3-1,5-3-2,Daniel Siebert,Match Report,,22.0,9.0,14.6,1.0,0,0,2025,Bayern Munich
1,2024-08-23,20:30,Bundesliga,Matchweek 1,Fri,Away,W,3,2,Gladbach,2.7,1.6,57.0,54042.0,Lukáš Hrádecký,3-4-3,4-2-3-1,,Match Report,,24.0,9.0,18.3,1.0,0,1,2025,Bayer Leverkusen
3,2024-08-31,18:30,Bundesliga,Matchweek 2,Sat,Home,L,2,3,RB Leipzig,2.2,1.1,62.0,29615.0,Jonathan Tah,3-4-3,3-4-3,Matthias Jöllenbeck,Match Report,,26.0,10.0,15.6,0.0,0,0,2025,Bayer Leverkusen
